,VMag,Star_name,Bayer Designation,Distance,Spectral Class,Mass,Radius
0,0.000−26.74,Sun,,0.000015813,G2,1,1
1,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71´
2,0.003−0.74,Canopus,α Car,0310,A9,15,71
3,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2
4,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26
5,0.03,Vega,α Lyr,0025,A0,2.2,2.7
6,0.08,Capella,α Aur,0043,G8,2.6,12
7,0.13,Rigel,β Ori,0860,B8,23,78.9
8,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9
9, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950
10,0.46,Achernar,α Eri,0144,B3,6.7,9.3
11,0.61,Hadar,β Cen,0390,B1,10.5,8.6
12,0.76,Altair,α Aql,0017,A7,1.8,1.8
13,0.76,Acrux,α Cru,0320,B0.5,18,8.9
14,0.86,Aldebaran,α Tau,0065,K5,1.5,44
15,0.96,Antares,α Sco,0600,M1.5,12,680
16,0.97,Spica,α Vir,0260,B1,11.43,7.47
17,1.14,Pollux,β Gem,0034,K0,1.9,8.8
18,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8
19,1.25,Deneb,α Cyg,"2,600",A2,19,203
20,1.25,Mimosa,β Cru,0350,B0.5,16,8.4
21,1.39,Regulus,α Leo,0077,B7,3.8,3.1
22,1.50,Adhara,ε CMa,0430,B2,12.5,14
23,1.62,Shaula,λ Sco,0700,B2,14.5,8.8
24,1.62,Castor,α Gem,0052,A1,2.8,2.4
25,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84
26,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8
27,1.65,Elnath,β Tau,0130,B7,5.0,4.2
28,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8
29,1.69,Alnilam,ε Ori,"2,000",B0,32,42
30,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6
31,1.74,Alnair,α Gru,0101,B7,4.0,3.4
32,1.77,Alioth,ε UMa,0081,A1,2.9,4.2
33,1.77,Alnitak,ζ Ori,01050,O9.7,33,20
34,1.79,Dubhe,α UMa,0120,G9,4.25,30
35,1.80,Mirfak,α Per,0590,F5,8.5,68
36,1.82,Wezen,δ CMa,"1,600",F8,17,200
37,1.84,Sargas,θ Sco,0270,F0,5.7,26
38,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8
39,1.86,Avior,ε Car,0630,K3,9.0,130
40,1.86,Alkaid,η UMa,0104,B3,6.1,3.4
41,1.90,Menkalinan,β Aur,081,A1,2.39,2.77
42,1.91,Atria,α TrA,0390,K2,7,92
43,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3
44,1.94,Peacock,α Pav,0180,B3,5.9,4.8
45,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9
46,1.98,Mirzam,β CMa,0500,B1,13.5,10
47,1.98,Polaris,α UMi,0430,F8,5.4,39
48,2.00,Alphard,α Hya,0180,K3,3.0,50
49,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5
50,2.42,Scheat,β Peg,0196,M2.5,2.1,95
51,2.98,Almaaz,ε Aur,0653,F0,15,140
52,3.35,Rasalgethi,α Her,0360,M5,2.8,280
53,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893
54,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22
55,3.74,Ran,ε Eri,010.48,K2,0.82,0.74
56,3.83,V382 Carinae,Car,"08,900",G2,20,485
57,4,Eta Carinae,η Car,"07,500",O,100,60–881
58,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5
59,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972
60,4.09,Titawin,υ And,044.25,F8,1.27,1.48
61,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981
62,4.82,P Cygni,P Cyg,"05,545",B1,30,76
63,4.86,La Superba,CVn,"01,000",C5,,129 - 342
64,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050"
65,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665
66,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298
67,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74
68,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85
69,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94
70,6.57,Mira,ο Ceti,0300,M7,1.2,370
71,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158"
72,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51
73,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750
74,7.25,HD 140283,Lib,0190,F?,?,1.4
75,7.4,II Pegasi,Peg,0130,K2,0.8,3.4
76,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420"
77,8.3,Pistol Star,Sgr,"025,000",B3,100,320
78,8.6,S Doradus,Dor,"0169,000",B8,24,380
79,8.9,UY Scuti,Sct,"05,100",M4,7–10,755
80,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20
81,10.7,Luhman 16,Vel,06.52,L7,0.04,?
82,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15
83,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58
84,12.23,R136a1,Dor,"0163,000",WN5,290,32
85,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1
86,14.10,WR 102,Sag,"018,134",WO2,19,0.39
87,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47
88,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99
89,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21
90,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770"
91,17.30,VB 10,Aql,018.72,M8,0.075,0.10
